vote_id,user_id,politician_id,word_id,created_at
1,1,1,1,2024-08-26T12:15:00Z
2,2,1,2,2024-08-26T12:45:00Z
4,3,2,3,2024-08-26T13:30:00Z
5,1,2,4,2024-08-26T19:11:43.278Z
6,1,1,5,2024-08-26T19:12:05.383Z
7,1,1,5,2024-08-26T19:12:10.816Z
8,1,4,6,2024-08-26T19:22:45.904Z
9,1,2,1,2024-08-26T19:42:50.149Z
10,1,5,1,2024-08-26T19:46:05.452Z
11,1,5,4,2024-08-26T19:46:09.762Z
12,1,5,2,2024-08-26T19:46:12.570Z
13,1,5,2,2024-08-26T19:46:14.237Z
14,1,4,3,2024-08-26T19:46:21.785Z
15,1,4,5,2024-08-26T19:46:27.012Z
16,1,4,6,2024-08-26T19:46:29.495Z
17,1,3,5,2024-08-26T19:46:35.732Z
18,1,3,4,2024-08-26T19:46:40.591Z
19,1,2,1,2024-08-26T19:46:53.992Z
20,1,5,7,2024-08-26T19:52:43.867Z
21,1,6,8,2024-08-26T19:56:42.632Z
22,1,6,4,2024-08-26T19:56:49.644Z
23,1,6,5,2024-08-26T19:57:46.068Z
24,1,5,3,2024-08-26T19:58:40.995Z
25,1,6,8,2024-08-26T19:59:57.526Z
26,1,6,9,2024-08-26T20:00:08.128Z
27,1,6,2,2024-08-26T20:00:15.034Z
28,1,6,9,2024-08-26T20:00:18.940Z
29,1,5,1,2024-08-26T20:02:56.703Z
30,1,5,1,2024-08-26T20:02:59.263Z
31,1,5,2,2024-08-26T20:03:14.920Z
32,1,5,2,2024-08-26T20:03:15.423Z
33,1,5,2,2024-08-26T20:03:15.734Z
34,1,5,3,2024-08-26T20:05:47.257Z
35,1,5,3,2024-08-26T20:05:48.142Z
36,1,5,3,2024-08-26T20:05:48.820Z
37,1,5,3,2024-08-26T20:05:49.777Z
38,1,5,3,2024-08-26T20:05:50.845Z
39,1,5,3,2024-08-26T20:05:51.742Z
40,1,3,6,2024-08-26T20:06:06.359Z
41,1,3,6,2024-08-26T20:06:06.807Z
42,1,3,6,2024-08-26T20:06:06.992Z
43,1,3,6,2024-08-26T20:06:07.154Z
44,1,4,1,2024-08-26T20:07:51.935Z
45,1,4,1,2024-08-26T20:07:52.238Z
46,1,4,1,2024-08-26T20:07:52.567Z
47,1,4,1,2024-08-26T20:07:52.942Z
48,1,4,1,2024-08-26T20:07:53.425Z
49,1,4,1,2024-08-26T20:07:53.892Z
50,1,4,1,2024-08-26T20:07:54.468Z
51,1,4,1,2024-08-26T20:07:55.103Z
52,1,4,10,2024-08-26T20:08:10.207Z
53,1,4,10,2024-08-26T20:25:09.263Z
54,1,4,10,2024-08-26T20:25:09.473Z
55,1,4,10,2024-08-26T20:25:09.608Z
56,1,4,10,2024-08-26T20:25:09.735Z
57,1,4,10,2024-08-26T20:25:09.861Z
58,1,4,10,2024-08-26T20:25:09.989Z
59,1,4,10,2024-08-26T20:25:10.222Z
60,1,4,10,2024-08-26T20:25:10.353Z
61,1,4,10,2024-08-26T20:25:10.475Z
62,1,4,10,2024-08-26T20:25:10.588Z
63,1,4,10,2024-08-26T20:25:10.720Z
64,1,4,10,2024-08-26T20:25:10.837Z
65,1,4,10,2024-08-26T20:25:10.998Z
